title,abstract,publish_time,authors,journal,source_x
COVID-19 and the heart,"COVID-19 impacts cardiovascular health significantly.",2020-03-01,"Smith J","Lancet","Elsevier"
Machine Learning for COVID-19,"Applications of ML in COVID-19 prediction.",2021-05-15,"Lee K","Nature Medicine","Springer"
Vaccines and Variants,"Study on vaccine efficacy against variants.",2021-08-20,"Patel R","JAMA","JAMA Network"
Long-term COVID effects,"Research on long COVID symptoms.",2022-02-11,"Wang T","BMJ","BMJ"
AI in Healthcare during Pandemic,"AI helped hospitals manage resources.",2020-11-30,"Johnson M","NEJM","NEJM"
COVID-19 in Children,"Clinical outcomes of COVID-19 in pediatric cases.",2021-04-10,"Ali S","Pediatrics","AAP"
Mental Health during Pandemic,"Impact of isolation on mental health globally.",2020-06-25,"Nguyen L","Psychiatry Research","Elsevier"
COVID-19 Transmission Dynamics,"Modeling airborne transmission in urban areas.",2021-01-18,"Brown C","Science","AAAS"
Global Vaccine Rollout,"Challenges in equitable vaccine distribution.",2021-09-12,"Garcia M","Nature","Springer"
Telemedicine Adoption,"Rise of telemedicine in healthcare during COVID-19.",2020-12-05,"Adams P","Health Affairs","Project HOPE"
COVID-19 and Education,"Effect of school closures on learning outcomes.",2021-03-20,"Khan R","Education Researcher","AERA"
Economic Impact of COVID-19,"Global financial crisis triggered by pandemic.",2020-07-14,"Taylor D","World Economy","Wiley"
